#,Caso de prueba,Prioridad,Resultado esperado,Resultado Obtenido,,,,,,,,,,,,,,,,,,,,,
S-01,Login con credenciales correctas,?? Crítico,Redirige al dashboard según rol asignado,"Funciona correctamente. Detalle: el input del login el placeholder dice email, cuando el login es con nombre de usuario, no email",,,,,,,,,,,,,,,,,,,,,
S-02,Login con contraseña incorrecta,?? Crítico,"Mensaje de error claro, no revela si el usuario existe","Funciona correctamente. Detalle: login no valida mayusculas tanto en el usuario como en la contraseña, si los caracteres estan correctos ingresa, da igual si lo ingrese con mayuscula o minuscula, arreglar eso",,,,,,,,,,,,,,,,,,,,,
S-03,Login con usuario inexistente,?? Crítico,Mismo mensaje genérico que contraseña incorrecta,"Sale alerta de credenciales invalidas, deberia decir usuario inexistente.",,,,,,,,,,,,,,,,,,,,,
S-04,Login con usuario deshabilitado,?? Crítico,"Mensaje específico: ""Tu cuenta está deshabilitada""","Funciona correctamente, dice ""Usuario deshabilitado""",,,,,,,,,,,,,,,,,,,,,
S-05,"""Recuérdame"" activo ? cerrar browser ? reabrir",?? Alto,"Sesión persiste, usuario logueado automáticamente",funciona correctamente,,,,,,,,,,,,,,,,,,,,,
S-06,"Sin ""Recuérdame"" ? cerrar tab ? reabrir",?? Alto,"Sesión no persiste, redirige a login",funciona correctamente,,,,,,,,,,,,,,,,,,,,,
S-07,Token JWT expirado con sesión activa,?? Alto,Logout automático o renovación silenciosa sin perder trabajo,"creo que no esta presente esa logica, verificar.",,,,,,,,,,,,,,,,,,,,,
S-08,Mismo usuario logueado en dos tabs distintas,?? Medio,Ambas sesiones funcionan correctamente,funciona correctamente.,,,,,,,,,,,,,,,,,,,,,
S-09,Mismo usuario en dos navegadores distintos,?? Medio,Ambas funcionan o se invalida la anterior según política,funciona correctamente,,,,,,,,,,,,,,,,,,,,,
S-10,Pegar URL de ruta interna estando deslogueado,?? Medio,"Redirige a login, luego vuelve a la ruta original","lo que pasa es que la navegacion no cambia la ruta o url, verificar eso, tenemos otra logica de navegacion",,,,,,,,,,,,,,,,,,,,,
S-11,Credenciales con espacios al inicio/final,?? Medio,Se trimea correctamente o falla con mensaje claro,"si funciona correctamente, detalle: si en el usuario ingreso al final espacios no los cuenta y el inicio de sesion lo hace igual.",,,,,,,,,,,,,,,,,,,,,
S-12,"Contraseña con caracteres especiales (!@#$%&'""<>)",?? Medio,Login exitoso si son las credenciales correctas,Funciona correctamente,,,,,,,,,,,,,,,,,,,,,
